Adress,Latitude,Longtitude
Bremen,53.0792962,8.8016936
Bremerhaven,53.5395845,8.5809425
Brindisi,40.6327278,17.9417616
Brisbane,-27.4697707,153.0251235
Bristol,51.5031,2.6988
Brunswick,31.1318,81.5369
Buchanan(LBR),5.857,-10.054
Buenaventura,3.8830471,-77.0197212
Buenos Aires,-34.6036844,-58.3815591
Burnside,40.7108081,-73.9508109
Busan,35.1795543,129.0756416
Cadiz,36.5270612,-6.2885962
Cagliari,39.2238411,9.1216613
Calaca,40.6833996,-73.9565443
Caldera(CRI),9.9400553,-84.7276382
Callao,-12.0508491,-77.1259843
Cam Pha,21.0718937,107.3201023
Caofeidian,38.9333333,118.5333333
Cape Town,-33.9248685,18.4240553
Cardiff,51.481581,-3.17909
Carino,43.736025,-7.866431
Cartagena(COL),10.3910485,-75.4794257
Cartagena(ESP),37.6256827,-0.9965839
Casablanca,33.5731104,-7.5898434
Castellon,39.9863563,-0.0513246
Castries,14.0101094,-60.9874687
Ceuta,35.8893874,-5.3213455
Ceyhan,37.028765,35.8124309
Chalkis,38.4686919,23.6228734
Chalmette,29.942783,-89.9635162
Chennai,13.0826802,80.2707184
Chernomorsk,46.2952236,30.6480855
Chioggia,45.2190746,12.2786505
Chittagong,22.356851,91.7831819
Civitavecchia,42.0924239,11.7954132
Colombo,6.9270786,79.861243
Conakry,9.6411855,-13.5784012
Constantza,44.1598013,28.6348138
Copenhagen,55.6760968,12.5683372
Corpus Christi,27.8005828,-97.396381
Cote Ste. Catherine,45.4924295,-73.632965
Cristobal,9.350599,-79.901527
Crotone,39.0807932,17.1271102
Curacao,12.16957,-68.99002
Cuxhaven,53.859336,8.6879057
Dagenham,51.53889,0.14743
Dakar,14.716677,-17.4676861
Dalian,38.914003,121.614682
Dalrymple Bay,-21.2923935,149.284364
Damietta,31.4175388,31.8144434
Dammam,26.4206828,50.0887943
Dar es Salaam,-6.792354,39.2083284
Davant,40.8514987,-73.99553
Delfzijl,53.3310272,6.9244598
Derince,40.756189,29.830918
Dharamtar,18.705318,73.028247
Dikili,39.0749,26.889199
Diliskelesi,40.776803,29.526321
Djibouti,11.825138,42.590275
Donghae,37.49393,129.1381
Dongjiakou,35.585575,119.761775
Dordrecht,51.8132979,4.6900929
Douala,4.0510564,9.7678687
Drepanon,38.33829,21.84644
Dunkerque,51.0343684,2.3767763
Durban,-29.8586804,31.0218404
Eemshaven,53.4385887,6.8354937
Eilat,29.557669,34.951925
El Dekheila,31.123045,29.8178676
Eleusis,38.0412749,23.5418125
Ellesmere Port,53.279812,-2.897404
Eregli,41.279909,31.4202599
Esbjerg,55.476466,8.459405
Escombreras,37.5591667,-0.9688889
Evyap,40.7763,29.7146
Falmouth,41.5532208,-70.6085886
Fangcheng,21.769211,108.353499
Fethiye,36.659246,29.126347
Fort de France,14.6160647,-61.0587804
Fort Lauderdale,26.1224386,-80.1373174
Fos,26.6661901,-81.9419357
Foynes,52.6105253,-9.1051123
Fujairah,25.4110762,56.2482277
Fujairah Anch.,25.1288099,56.3264849
Fukuyama,40.7139756,-73.9483124
Fuzhou,26.074478,119.296482
Gabes,33.8957,10.1162
Galle,6.0535185,80.2209773
Gallipoli,40.3333333,26.5
Galveston,29.3013479,-94.7976958
Gangavaram,17.6322406,83.2365482
Garrucha,37.1802068,-1.8233007
Gdansk,54.3520252,18.6466384
Gebe Is.,-0.1225875,129.49679
Geelong,-38.1499181,144.3617186
Gemlik,40.43182,29.155416
Genoa,44.4056499,8.946256
Georgetown(GUY),6.8012793,-58.1551255
Ghent,51.0543422,3.7174243
Gibraltar,36.140751,-5.353585
Gijon,43.5322015,-5.6611195
Grimsby,53.567471,-0.080784
Guangdong Terminal,23.416551,113.3159317
Guangzhou,23.12911,113.264385
Guayaquil,-2.1894128,-79.8890662
Gulluk,37.235031,27.60618
Gwangyang,34.9406968,127.6958882
Haifa,32.7940463,34.989571
Haiphong,20.8449115,106.6880841
Haldia,22.0627164,88.0832934
Halifax,44.6473071,-63.6077626
Hamburg,53.5510846,9.9936819
Hansweert,51.4491458,4.0043985
Havana,23.1135925,-82.3665956
Hay Point,-21.2948785,149.2561568
Haydarpasa,40.9968247,29.0192939
Hazira,21.1784184,72.6587856
Hereke,40.793768,29.626024
Ho Chi Minh City,10.8230989,106.6296638
Hodeidah,14.7909118,42.9708838
Honfleur,49.418762,0.233262
Hong Kong,22.3193039,114.1693611
Houston,29.7604267,-95.3698028
Huanghua,38.371402,117.329949
Huelva,37.261421,-6.9447224
Hull,53.7676236,-0.3274198
Icdas,40.451685,27.1449
Immingham,53.614012,-0.215913
Inebolu,41.97725,33.759358
Ipswich,52.056736,1.14822
Isdemir,36.7134756,36.2142414
Iskenderun,36.584673,36.1756161
Istanbul,41.0082376,28.9783589
Itaguai,-22.8632126,-43.7779144
Izmir,38.423734,27.142826
Izmit,40.7654408,29.9408089
Jakarta,-6.2087634,106.845599
Jebel Ali,24.9857145,55.0272904
Jeddah,21.485811,39.1925048
Jiangyin,31.920658,120.284938
Jinzhou,41.095685,121.1268459
Jorf Lasfar,33.155648,-8.6226633
Jubail,26.9597709,49.5687416
Kakinada,16.9890648,82.2474648
Kaliningrad,54.7104264,20.4522144
Kalundborg,55.686429,11.089188
Kamsar,10.6637208,-14.5844395
Kandla,23.008141,70.1872551
Kaohsiung,22.6272784,120.3014353
Karabiga,40.40929,27.303551
Karachi,24.8607343,67.0011364
Karasu,40.6893892,-73.9732409
Kartal,40.9184004,29.2204548
Kashima,45.4863718,-73.5888209
Kavkaz,43.5851814,45
Kiel,54.3232927,10.1227651
Kiel Canal,54.1947283,9.5468524
King Abdullah Port,22.5265085,39.0916652
Kingston(JAM),18.0178743,-76.8099041
Klaipeda,55.7032948,21.1442795
Ko Sichang,13.1499153,100.8084675
Kobe,34.6826,135.1867
Koper,45.548059,13.7301877
Koromacno,44.9683634,14.1220627
Kotka,60.4665666,26.9459403
Krishnapatnam,14.2886008,80.1248476
Kuantan,3.7633859,103.2201828
Kumport,40.9716374,28.6796565
La Coruna,43.3623436,-8.4115401
La Goulette,36.8200203,10.3020843
La Nouvelle,46.0717787,-71.9625823
La Pallice,46.160329,-1.151139
La Spezia,44.1024504,9.8240826
Laem Chabang,13.1040552,100.9158073
Lanshan,35.121884,119.318928
Las Palmas,28.15,-15.416667
Lavera,43.39706,4.994015
Lazaro Cardenas,17.9567646,-102.1943485
Le Havre,49.49437,0.107929
Le Legue,48.52535,-2.745161
Leixoes,41.1827778,-8.7030556
Lianyungang,34.596653,119.221611
Liepaja,56.5046678,21.010806
Lisbon,38.7222524,-9.1393366
Liverpool,53.4666,3.0195
Livorno,43.548473,10.3105674
Lome,6.1256261,1.2254183
London,51.5073509,-0.1277583
Long Pond,41.8006683,-70.9457635
Malaga,36.7167456,-4.4259962
Male,4.172,73.509
Malmo,55.604981,13.003822
Manila,14.5995124,120.9842195
Manzanillo(PAN),19.1126934,-104.3366784
Maputo,-25.969248,32.5731746
Mar del Plata,-38.0054771,-57.5426106
Marin,38.083403,-122.7633036
Mariupol,47.097133,37.543367
Marport,47.8893616,-122.2935349
Marsaxlokk,35.8411699,14.5393097
Marseilles,43.296482,5.36978
Marystown,47.1650754,-55.1555299
Matanzas(VEN),-33.9635852,-71.8755691
Mazatlan,23.2494148,-106.4111425
Melbourne,-37.8136276,144.9630576
Mersin,36.8121041,34.6414811
Miami,25.7616798,-80.1917902
Milazzo,38.2207102,15.2419327
Milos,36.6914464,24.3935655
Mina Saqr,25.7916667,55.9533333
Mobile,30.695366,-88.039894
Moerdijk,51.6601559,4.5130718
Mombasa,-4.0434771,39.6682065
Monfalcone,45.8050468,13.5331727
Monopoli,40.9525166,17.2985559
Montevideo,-34.9011127,-56.1645314
Montoir,47.327052,-2.150431
Montrose,56.7011,2.4691
Mormugao,15.3889087,73.8165668
Motril,36.7489747,-3.5180363
Muarajawa,-0.8225245,117.1970557
Mukalla,14.5404328,49.127197
Mumbai,19.0759837,72.8776559
Mundra,22.8395202,69.7213266
Muuga,59.4949903,24.9636009
Nanjing,32.060255,118.796877
Nansha,22.801624,113.525165
Nantong,31.980171,120.894291
Napier,-39.4928444,176.9120178
Naples,26.1420358,-81.7948103
Nea Karvali,40.9624179,24.5082696
Nemrut Bay,38.76553,26.900155
New Mangalore,12.928109,74.822216
New Orleans,29.9510658,-90.0715323
Newark,40.735657,-74.1723667
Newcastle(AUS),-32.9282712,151.7816802
Newport,41.4901024,-71.3128285
Newport News,37.0870821,-76.4730122
Ngqura,-33.8057668,25.6795456
Nikolayev,46.975033,31.9945829
Ningbo,29.868336,121.54399
Ningde,26.665617,119.547932
Norfolk(USA),36.8507689,-76.2858726
Nouadhibou,20.9425179,-17.0362272
Nouakchott,18.0735299,-15.9582372
Novorossiysk,44.7154014,37.7619669
Odessa,46.482526,30.7233095
Oran,35.6987388,-0.6349319
Oristano,39.906182,8.5883863
Padang,-0.9470832,100.417181
Pago Pago,-14.2756319,-170.7020359
Palermo,38.11569,13.3614868
Paradip,20.3165523,86.6113628
Paramaribo,5.8520355,-55.2038278
Paranagua,-25.5148758,-48.5226223
Pasajes,40.7988865,-73.941183
Pascagoula,30.3657552,-88.5561272
Pecem,-3.5495406,-38.8108348
Philadelphia,39.9525839,-75.1652215
Phu My,10.5905345,107.0480378
Piraeus,37.9429857,23.6469832
Ploce,43.0563106,17.4310249
Point Lisas,10.4077455,-61.4924377
Pointe a Pitre,16.2376869,-61.5340424
Pointe Noire(COG),-4.7691623,11.866362
Pomalaa,-4.2570909,121.6511258
Ponta da Madeira,32.688656,-16.791765
Port Alfred,-33.5864065,26.8851448
Port Alma,-23.5832751,150.8455875
Port Arthur,29.8849504,-93.939947
Port Cartier,50.0212524,-66.8760025
Port Elizabeth,-33.9608369,25.6022423
Port Everglades,26.0850697,-80.116658
Port Klang,2.999852,101.39283
Port Manatee,27.6336443,-82.5614858
Port Muhammad Bin Qasim,24.7696943,67.3346881
Port of Spain,10.6495918,-61.5142371
Port Said,31.2652893,32.3018661
Port Sudan,19.5903471,37.1901616
Portland(OR USA),45.5051064,-122.6750261
Porto Nogaro,45.8326016,13.2077046
Porto Vesme,39.2063711,8.4047163
Poti,42.1582596,41.67137
Praia Mole,-27.6022459,-48.4326839
Puerto Barrios,15.6969984,-88.5855064
Puerto Cabello,10.4697685,-68.0298654
Puerto Deseado,-47.7515646,-65.9013773
Qingdao,36.067108,120.382609
Qinzhou,21.979933,108.654146
Rades,36.7715984,10.2768388
Ravenna,44.4183598,12.2035294
Reni,45.457057,28.2888529
Richards Bay,-28.7807276,32.0382856
Riga,56.9496487,24.1051865
Rio de Janeiro,-22.9068467,-43.1728965
Rio Grande(BRA),39.4526726,-74.7290375
Rio Haina,18.6003917,-70.1473403
River Plate,34.2179739,-118.5998804
Rizhao,35.416734,119.526925
Rochefort,45.936698,-0.961697
Rocky Point,31.3268218,-113.5311843
Rosario,-32.9587022,-60.6930416
Rostock,54.0924406,12.0991466
Rostov,47.22,39.7501
Rosyth,56.03647,-3.423064
Rotterdam,51.9244201,4.4777326
Rouen,49.443232,1.099971
Safaga,26.7500171,33.9359756
Sagunto,39.6801121,-0.2784001
Salalah,17.0193843,54.1107505
Saldanha Bay,-33.0389488,17.9887402
Saleef,15.308099,42.6699321
Samalaju,3.5369308,113.2954703
Samarinda,-0.5016166,117.1264753
Samsun,41.2797031,36.3360667
San Antonio Este,-40.816667,-64.75
San Antonio(CHL),33.5923,71.6055
San Ciprian,43.6938309,-7.4415158
San Juan(PRI),18.4655394,-66.1057355
San Lorenzo(ARG),-32.7477485,-60.7341297
San Pedro de Macoris,18.46266,-69.3051234
Santa Cruz de Tenerife,28.4636296,-16.2518467
Santana,37.3207804,-121.9481756
Santander,43.4544,3.8116
Santo Domingo,18.4860575,-69.9312117
Santos,29.9605954,-90.0594676
Sao Luiz,-2.5299669,-44.2567292
Savannah,32.0808989,-81.091203
Savona,44.298387,8.4645331
Seaham,54.840346,-1.337517
Sepetiba,-22.9674264,-43.7056394
Sete,43.4078758,3.7008219
Setubal,38.5254047,-8.8941
Seven Islands,50.2133,66.3758
Seville,37.3890924,-5.9844589
Sfax,34.739822,10.7600196
Shanghai,31.230416,121.473701
Shuaiba,29.0447222,48.1591667
Sillamae,59.3995308,27.748088
Sines,37.9571555,-8.8608907
Singapore,1.352083,103.819836
Singapore Roads,1.33035,103.891074
Skikda,36.8662658,6.9062556
Sluiskil,51.2777029,3.8366881
Sorel,40.740825,-74.004468
Split,37.789001,-122.399458
St. Petersburg,27.7676008,-82.6402915
Stockholm,59.3293235,18.0685808
Suez,40.9010367,-74.0380829
Suez Canal,30.5578479,32.3388628
Szczecin,53.4285438,14.5528116
Taboneo,-3.7143241,114.4671432
Taganrog,47.2416334,38.8676013
Taipei,25.0329694,121.5654177
Taizhou,28.65638,121.42076
Takoradi,4.9015794,-1.7830973
Tallinn,59.4369608,24.7535747
Tampa,27.950575,-82.4571776
Tangier,35.7594651,-5.8339543
Tangier-Mediterranee,35.7594651,-5.8339543
Tanjung Pelepas,1.3621673,103.5533946
Taranto,40.4643606,17.2470303
Tarragona,41.1188827,1.2444909
Tartous,34.8959276,35.8866517
Tasucu,36.319969,33.88792
Tees,54.35433068,-1.10143256
Tees Bay,54.6509049,-1.1553706
Tekirdag,40.9780919,27.511674
Tema,5.7348119,0.0302354
Terneuzen,51.3322854,3.8324265
Thessaloniki,40.6400629,22.9444191
Thisvi,38.2577273,22.969588
Tianjin,39.3433574,117.3616476
Tilbury,51.463024,0.360498
Tolu,9.527515,-75.581273
Toronto,43.653226,-79.3831843
Trabzon,41.0026969,39.7167633
Trieste,45.6495264,13.7768182
Trincomalee,8.5873638,81.2152121
Tubarao,-28.4818875,-49.0058727
Tuticorin,8.7641661,78.1348361
Tuzla,44.5374611,18.6734687
Umm Qasr,30.0397683,47.9267674
Ust-Luga,59.6533827,28.2696934
Valencia,28.5217922,-81.4635767
Varna,43.2140504,27.9147333
Vasto,42.1045588,14.7058711
Venice (Porto Marghera),45.4619904,12.2171672
Ventspils,57.3937216,21.5647066
Veracruz,19.173773,-96.1342241
Vigo,40.7448556,-73.9936404
Visakhapatnam,17.6868159,83.2184815
Visakhapatnam Roads,17.7899603,83.3847044
Vitoria,42.8591656,-2.6817918
Vlaardingen,51.9120668,4.3494366
Volos,39.366584,22.9506769
Wilhelmshaven,53.5323403,8.1068722
Willemstad(ANT),12.1224221,-68.8824233
Wilmington(NC USA),34.2103894,-77.8868117
Wismar,53.8979416,11.4516022
Yalova,40.654895,29.284186
Yanbu,24.0231757,38.1899782
Yangjiang,21.857958,111.982232
Yantian,22.556499,114.236875
Yarimca,40.7677,29.7568
Yeysk,46.6825784,38.2702941
Yuzhnyy,46.6240213,31.1000648
Zeyport,40.9809744,28.8943125
Zhangjiagang,31.875572,120.556005
Zhanjiang,21.270702,110.359368
Zhenjiang,32.187849,119.425836
Zhoushan,29.985295,122.207215
Zonguldak,41.453521,31.78938
