Adress,Latitude,Longtitude
Boryeong,36.3331629,126.6129441
BOSPHORUS STRAIT,41.2213125,29.1290157
Bosphorus Straits,41.2213125,29.1290157
Botany Bay,-33.9930374,151.175278
Boulogne,50.725231,1.613334
Bourgas,42.5047926,27.4626361
Bowmanville,43.9126042,-78.688019
Braila,45.2652463,27.9594714
Brake,37.2054525,-95.7129768
Bremen,53.0792962,8.8016936
Bremerhaven,53.5395845,8.5809425
Brindisi,40.6327278,17.9417616
Brisbane,-27.4697707,153.0251235
Bristol,51.454513,-2.58791
Brofjorden,58.3569174,11.418697
Bromborough,53.3321915,-2.9772937
Broome,42.1791865,-75.8533954
Brownsville,25.9017472,-97.4974838
Brunsbuttel,53.8988902,9.1338853
Brunswick,39.109609,-95.087839
Buchanan(LBR),33.1239485,-88.1572168
Buenaventura,3.8830471,-77.0197212
Buenos Aires,-34.6036844,-58.3815591
Bunbury,25.7884537,-80.1933633
Burnside,42.3451064,-94.1066512
Busan,35.1795543,129.0756416
Cadiz,36.5270612,-6.2885962
Cagliari,39.2238411,9.1216613
Cai Mep,10.5385454,107.0317977
Calaca,39.9675162,-75.1760731
Caldera(CRI),9.9400553,-84.7276382
Callao,-12.0508491,-77.1259843
Cam Pha,21.0718937,107.3201023
Campana,39.3895859,16.8296372
Canakkale,40.14672,26.408587
Canvey Is.,51.517083,0.578411
Caofeidian,38.9333333,118.5333333
Cape Town,-33.9248685,18.4240553
Carboneras,37.0029423,-1.9294681
Cardiff,51.481581,-3.17909
Carino,36.3397136,-94.1788553
Caronte,25.5600162,-103.4592219
Cartagena(COL),10.3910485,-75.4794257
Cartagena(ESP),37.6256827,-0.9965839
Casablanca,33.5731104,-7.5898434
Castellon,39.9863563,-0.0513246
Castries,14.0101094,-60.9874687
Catania,37.5078772,15.0830304
Caucedo,18.425332,-69.632825
Cebu,10.3156992,123.8854366
Cesme,38.3228017,26.3027607
Ceuta,35.8893874,-5.3213455
Ceyhan,37.028765,35.8124309
Chaguaramas,10.6825099,-61.6340823
Chalkis,38.4686919,23.6228734
Chalmette,29.942783,-89.9635162
Changzhou,31.811226,119.974061
Chennai,13.0826802,80.2707184
Chernomorsk,46.2952236,30.6480855
Chesapeake,36.7682088,-76.2874927
Chioggia,45.2190746,12.2786505
Chittagong,22.356851,91.7831819
Cigading,-6.0120489,105.9877085
Civitavecchia,42.0924239,11.7954132
Colombo,6.9270786,79.861243
Conakry,9.6411855,-13.5784012
Constantza,44.1598013,28.6348138
Constantza Roads,44.1598013,28.6348138
Copenhagen,55.6760968,12.5683372
Corigliano,42.9732053,-78.7368923
Corpus Christi,27.8005828,-97.396381
Cote Ste. Catherine,45.4924295,-73.632965
Cotonou,6.3702928,2.3912362
Cristobal,9.350599,-79.901527
Crotone,39.0807932,17.1271102
Curacao,12.16957,-68.99002
Cuxhaven,53.859336,8.6879057
Dafeng,33.200333,120.50085
Dagenham,51.53889,0.14743
Dahej,21.7129335,72.582009
Dakar,14.716677,-17.4676861
Dalian,38.914003,121.614682
Dalrymple Bay,-21.2923935,149.284364
Damietta,31.4175388,31.8144434
Dammam,26.4206828,50.0887943
Dar es Salaam,-6.792354,39.2083284
Dardanelles,40.0481634,26.3013267
Darica,40.7738633,29.4002978
Davant,40.8514987,-73.99553
Delfzijl,53.3310272,6.9244598
Den Helder,52.9562808,4.7607971
Derince,40.756189,29.830918
Dharamtar,18.705318,73.028247
Dikili,39.0749,26.889199
Diliskelesi,40.776803,29.526321
Djibouti,11.825138,42.590275
Doha(QAT),25.2854473,51.5310398
Donghae,44.9820001,-93.2710069
Dongjiakou,35.585575,119.761775
Dordrecht,51.8132979,4.6900929
Dos Bocas,33.7619144,-84.3956378
Douala,4.0510564,9.7678687
Drepanon,38.33829,21.84644
Dublin,53.3498053,-6.2603097
Dumai,1.6666349,101.4001855
Dunkerque,51.0343684,2.3767763
Duqm,19.6394818,57.6779106
Durban,-29.8586804,31.0218404
Eastham,41.8299634,-69.9740361
Eemshaven,53.4385887,6.8354937
Eilat,29.557669,34.951925
El Dekheila,31.123045,29.8178676
Eleusis,38.0412749,23.5418125
Ellesmere Port,53.279812,-2.897404
Eregli,41.279909,31.4202599
Esbjerg,55.476466,8.459405
Escombreras,37.5591667,-0.9688889
Evyap,37.036153,37.3605361
Fairless Hills,40.1795537,-74.8551644
Falmouth,41.5532208,-70.6085886
Fangcheng,21.769211,108.353499
Fawley,50.8268139,-1.3502269
Fazendinha,26.1197222,-80.1563889
Ferrol,43.489646,-8.2193451
Fethiye,36.659246,29.126347
Figueira da Foz,40.1521398,-8.857583
Florida,27.6648274,-81.5157535
Fort de France,14.6160647,-61.0587804
Fort Lauderdale,26.1224386,-80.1373174
Fortaleza,-3.7327144,-38.5269981
Fos,26.6661901,-81.9419357
Fowey,50.33499,-4.636525
Foynes,52.6105253,-9.1051123
Fredericia,55.5689298,9.749517
Freeport(BHS),26.5333159,-78.6429019
Freetown,8.4656765,-13.2317225
Fremantle,-32.0518191,115.7551085
Fujairah,25.4110762,56.2482277
Fujairah Anch.,25.1288099,56.3264849
Fukuyama,40.7139756,-73.9483124
Fuzhou,26.074478,119.296482
Gabes,35.9630868,-86.8134578
Gaeta,41.2107299,13.5714285
Galatz,45.4353208,28.0079945
Galle,6.0535185,80.2209773
Gallipoli,40.3333333,26.5
Galveston,29.3013479,-94.7976958
Gangavaram,17.6322406,83.2365482
Garrucha,37.1802068,-1.8233007
Gdansk,54.3520252,18.6466384
Gdynia,54.5188898,18.5305409
Gebe Is.,-0.1225875,129.49679
Gebze,40.9329106,29.5339711
Geelong,-38.1499181,144.3617186
Gemlik,40.43182,29.155416
Genoa,44.4056499,8.946256
Georgetown(GUY),6.8012793,-58.1551255
Ghent,51.0543422,3.7174243
Gibraltar,36.140751,-5.353585
Gijon,43.5322015,-5.6611195
Gladstone,39.2038918,-94.554677
Glomfjord,66.8166325,13.9440435
Gothenburg,57.70887,11.97456
Grimsby,53.567471,-0.080784
Guaiba Island Port,-30.1079519,-51.3196503
Guangdong Terminal,23.416551,113.3159317
Guangzhou,23.12911,113.264385
Guayaquil,-2.1894128,-79.8890662
Gulluk,37.235031,27.60618
Gunsan,35.9676772,126.7366293
Gwangyang,34.9406968,127.6958882
Haifa,32.7940463,34.989571
Haimen,31.871173,121.181615
Haiphong,20.8449115,106.6880841
Haldia,22.0627164,88.0832934
Halifax,44.6473071,-63.6077626
Hamburg,53.5510846,9.9936819
Hamriyah,25.4533122,55.5191857
Hansweert,51.4491458,4.0043985
Harlingen,26.1906306,-97.6961026
Havana,23.1135925,-82.3665956
Hay Point,-21.2948785,149.2561568
Haydarpasa,40.9968247,29.0192939
Hazira,21.1784184,72.6587856
Hereke,40.793768,29.626024
Ho Chi Minh City,10.8230989,106.6296638
Hodeidah,14.7909118,42.9708838
Honfleur,49.418762,0.233262
Hong Kong,22.3193039,114.1693611
Hongay,20.9833333,107.0666667
Hoping,44.014472,-90.377159
Houston,29.7604267,-95.3698028
Huanghua,38.371402,117.329949
Huelva,37.261421,-6.9447224
Hull,53.7676236,-0.3274198
Icdas,40.451685,27.1449
Imbituba,-28.227627,-48.6691286
Immingham,53.614012,-0.215913
Incheon,37.4562557,126.7052062
Inebolu,41.97725,33.759358
Ipswich,52.056736,1.14822
Isdemir,36.7134756,36.2142414
Iskenderun,36.584673,36.1756161
Istanbul,41.0082376,28.9783589
Itaguai,-22.8632126,-43.7779144
Izmir,38.423734,27.142826
Izmit,40.7654408,29.9408089
Jacksonville,30.3321838,-81.655651
Jakarta,-6.2087634,106.845599
Jakhau,23.2192743,68.714007
Jebel Ali,24.9857145,55.0272904
Jeddah,21.485811,39.1925048
Jiangyin,31.920658,120.284938
Jingtang,29.4075646,-82.2847791
Jinzhou,41.095685,121.1268459
Jorf Lasfar,33.155648,-8.6226633
Jubail,26.9597709,49.5687416
Kakinada,16.9890648,82.2474648
Kalama,46.0084472,-122.8445508
Kalimantan,0.9618834,114.5548495
Kaliningrad,54.7104264,20.4522144
Kalundborg,55.686429,11.089188
Kamsar,10.6637208,-14.5844395
Kandla,23.008141,70.1872551
Kaohsiung,22.6272784,120.3014353
Karabiga,40.40929,27.303551
Karachi,24.8607343,67.0011364
Karaikal,10.9254398,79.8380056
Karasu,40.6893892,-73.9732409
Kartal,40.9184004,29.2204548
Kashima,45.4863718,-73.5888209
Kavkaz,43.5851814,45
Kendari,-3.9984597,122.5129742
Kherson,46.635417,32.616867
Kiel,54.3232927,10.1227651
Kiel Canal,54.1947283,9.5468524
King Abdullah Port,22.5265085,39.0916652
Kingston(JAM),18.0178743,-76.8099041
Klaipeda,55.7032948,21.1442795
Klapeida,55.7032948,21.1442795
Ko Sichang,13.1499153,100.8084675
Kobe,37.7236958,-97.4440675
Kolkata,22.572646,88.363895
Koper,45.548059,13.7301877
Koromacno,44.9683634,14.1220627
Kotka,60.4665666,26.9459403
Kpeme,7.1210008,0.3501258
Krishnapatnam,14.2886008,80.1248476
Kuantan,3.7633859,103.2201828
Kumport,40.9716374,28.6796565
Kwinana,-32.2376351,115.8285153
Kymassi,38.809251,23.5163069
La Coruna,43.3623436,-8.4115401
La Goulette,36.8200203,10.3020843
La Nouvelle,46.0717787,-71.9625823
La Pallice,46.160329,-1.151139
La Rochelle,46.160329,-1.151139
La Spezia,44.1024504,9.8240826
Laem Chabang,13.1040552,100.9158073
Lake Charles,30.2265949,-93.2173758
Lanshan,25.369725,112.196567
Las Calderas,18.2189698,-70.4922815
Las Palmas,36.3756424,-94.2218454
Lavera,32.8806556,-96.7175165
Lazaro Cardenas,17.9567646,-102.1943485
Le Havre,49.49437,0.107929
Le Legue,48.52535,-2.745161
Leixoes,41.1827778,-8.7030556
Lianyungang,34.596653,119.221611
Licata,37.1017094,13.9373306
Liepaja,56.5046678,21.010806
Lisbon,38.7222524,-9.1393366
Liverpool,40.3917075,-90.0009491
Livorno,43.548473,10.3105674
Lome,6.1256261,1.2254183
London,51.5073509,-0.1277583
Long Pond,41.8006683,-70.9457635
Longkou,37.646108,120.477813
Lubeck,53.8654673,10.6865593
Malaga,36.7167456,-4.4259962
Male,38.1846996,-85.7210267
Malmo,55.604981,13.003822
Manila,14.5995124,120.9842195
Manzanillo(MEX),19.1138094,-104.3384616
Manzanillo(PAN),19.1126934,-104.3366784
Maputo,-25.969248,32.5731746
Mar del Plata,-38.0054771,-57.5426106
Maracaibo,10.642707,-71.6125366
Mariel,42.3573463,-71.055773
Marin,38.083403,-122.7633036
Mariupol,47.097133,37.543367
Mariveles,14.4929411,120.5048792
Marport,47.8893616,-122.2935349
Marsaxlokk,35.8411699,14.5393097
Marseilles,43.296482,5.36978
Marystown,47.1650754,-55.1555299
Massawa,40.809733,-73.958608
Matanzas(VEN),-33.9635852,-71.8755691
Matarani,-17.0054057,-72.1001434
Mazatlan,23.2494148,-106.4111425
Mejillones,-23.0985013,-70.4455041
Melbourne,-37.8136276,144.9630576
Mersin,36.8121041,34.6414811
Mesaieed,24.9909255,51.5493483
Miami,25.7616798,-80.1917902
Milaki,38.3834548,24.061096
Milazzo,38.2207102,15.2419327
Milos,40.7635461,-73.9790278
Mina Saqr,25.7916667,55.9533333
Mina Zayed,24.5224833,54.3877183
Mississippi,32.3546679,-89.3985283
Mizushima,34.5154,133.7355
Mobile,30.6953657,-88.0398912
Moerdijk,51.6601559,4.5130718
Mokpo,34.8118351,126.3921664
Molfetta,41.2027767,16.5987187
Mombasa,-4.0434771,39.6682065
Monfalcone,45.8050468,13.5331727
Mongla,21.6694427,100.0163892
Monopoli,40.9525166,17.2985559
Montevideo,-34.9011127,-56.1645314
Montoir,47.327052,-2.150431
Montreal,45.5016889,-73.567256
Montrose,38.4783198,-107.8761738
Morehead City,34.7229391,-76.7260436
Mormugao,15.3889087,73.8165668
Motril,36.7489747,-3.5180363
Muarajawa,-0.8225245,117.1970557
Mukalla,14.5404328,49.127197
Mumbai,19.0759837,72.8776559
Mundra,22.8395202,69.7213266
Muuga,59.4949903,24.9636009
Nacala,-14.5656065,40.6854309
Nanjing,32.060255,118.796877
Nansha,22.801624,113.525165
Nantong,31.980171,120.894291
Napier,-39.4928444,176.9120178
Naples,26.1420358,-81.7948103
Nea Karvali,40.9624179,24.5082696
Necochea,-38.5544968,-58.7396088
Nemrut Bay,38.76553,26.900155
New Haven,41.308274,-72.9278835
New Jersey,40.0583238,-74.4056612
New London,41.3556539,-72.0995209
New Mangalore,12.928109,74.822216
New Orleans,29.9510658,-90.0715323
New York,40.7127753,-74.0059728
Newark,40.735657,-74.1723667
Newcastle Upon Tyne,54.978252,-1.61778
Newcastle(AUS),-32.9282712,151.7816802
Newport,41.4901024,-71.3128285
Newport News,37.0870821,-76.4730122
Ngqura,-33.8057668,25.6795456
Niihama,33.9602876,133.2833918
Nikolayev,46.975033,31.9945829
Ningbo,29.868336,121.54399
Ningde,26.665617,119.547932
Norfolk(USA),36.8507689,-76.2858726
Nouadhibou,20.9425179,-17.0362272
Nouakchott,18.0735299,-15.9582372
Novorossiysk,44.7154014,37.7619669
Nynashamn,58.902926,17.9465288
Odessa,46.482526,30.7233095
Onsan,35.4346298,129.3146114
Oran,35.6987388,-0.6349319
Oristano,39.906182,8.5883863
Orrskaer,60.02844,19.9459232
Ostend,51.21543,2.928656
Owendo,0.288285,9.510145
Padang,-0.9470832,100.417181
Pago Pago,-14.2756319,-170.7020359
Paldiski,59.3528731,24.0551583
Palermo,38.11569,13.3614868
Palm Beach,26.7056206,-80.0364297
Panama Canal,9.1223491,-79.7311627
Papenburg,53.0726142,7.4232678
Paradip,20.3165523,86.6113628
Paramaribo,5.8520355,-55.2038278
Paranagua,-25.5148758,-48.5226223
Pasajes,40.7988865,-73.941183
Pascagoula,30.3657552,-88.5561272
Pasir Gudang,1.470288,103.9029689
Pecem,-3.5495406,-38.8108348
Penang,5.4163935,100.3326786
Perai,5.377294,100.4001458
Pertigalete,43.3182479,-3.0211969
Philadelphia,39.9525839,-75.1652215
Phu My,10.5905345,107.0480378
Piombino,42.9256335,10.5258891
Pipavav,21.0120728,71.5341894
Piraeus,37.9429857,23.6469832
Pisco,35.7879498,-78.6682815
Ploce,43.0563106,17.4310249
Pohang,36.0190178,129.3434808
Point Lisas,10.4077455,-61.4924377
Pointe a Pitre,16.2376869,-61.5340424
Pointe Noire(COG),-4.7691623,11.866362
Pomalaa,-4.2570909,121.6511258
Ponta da Madeira,32.688656,-16.791765
Port Alfred,-33.5864065,26.8851448
Port Alma,-23.5832751,150.8455875
Port Arthur,29.8849504,-93.939947
Port au Prince,18.594395,-72.3074326
Port Cartier,50.0212524,-66.8760025
Port Elizabeth,-33.9608369,25.6022423
Port Everglades,26.0850697,-80.116658
Port Kaiser,47.5263819,-122.6538618
Port Katougouma,10.8836337,-14.4533136
Port Kembla,-34.485392,150.8995794
Port Klang,2.999852,101.39283
Port Louis,-20.1608912,57.5012222
Port Manatee,27.6336443,-82.5614858
Port Muhammad Bin Qasim,24.7696943,67.3346881
Port of Spain,10.6495918,-61.5142371
Port Said,31.2652893,32.3018661
Port Sudan,19.5903471,37.1901616
Port Talbot,51.5946799,-3.784097
Port Victoria,-34.496667,137.483333
Portland(OR USA),45.5051064,-122.6750261
Porto Nogaro,45.8326016,13.2077046
Porto Vesme,39.2063711,8.4047163
Porvoo,60.3931919,25.6652739
Poti,42.1582596,41.67137
Pozzallo,36.7298607,14.8491127
Praia Mole,-27.6022459,-48.4326839
Psachna,38.5774849,23.6417373
Puerto Barrios,15.6969984,-88.5855064
Puerto Cabello,10.4697685,-68.0298654
Puerto Deseado,-47.7515646,-65.9013773
Puerto Limon,9.9913106,-83.0415078
Puerto Nuevo,32.241512,-116.9329913
Qingdao,36.067108,120.382609
Qinzhou,21.979933,108.654146
Rabigh,22.7906701,39.0189623
Rades,36.7715984,10.2768388
Ranpar,16.9039997,73.2942267
Ravenna,44.4183598,12.2035294
Recalada,-38.990837,-61.260005
Reni,45.457057,28.2888529
Ribadeo,43.5122469,-7.1144039
Richards Bay,-28.7807276,32.0382856
Riga,56.9496487,24.1051865
Rijeka,45.3270631,14.442176
Rio de Janeiro,-22.9068467,-43.1728965
Rio Grande(BRA),39.4526726,-74.7290375
Rio Haina,18.6003917,-70.1473403
River Plate,34.2179739,-118.5998804
Rizhao,35.416734,119.526925
Rochefort,45.936698,-0.961697
Rocky Point,31.3268218,-113.5311843
Rosario,-32.9587022,-60.6930416
Rostock,54.0924406,12.0991466
Rostov,57.195623,39.4131527
Rosyth,56.03647,-3.423064
Rota(TUR),40.7702,29.7246
Rotterdam,51.9244201,4.4777326
Rouen,49.443232,1.099971
Safaga,26.7500171,33.9359756
Safi,32.7844913,-117.100748
Sagunto,39.6801121,-0.2784001
Saint Nicolas,46.6952423,-71.3854972
Salalah,17.0193843,54.1107505
Saldanha Bay,-33.0389488,17.9887402
Saleef,15.308099,42.6699321
Salerno,40.6824408,14.7680961
Salvador,-12.977749,-38.5016301
Samalaju,3.5369308,113.2954703
Samarinda,-0.5016166,117.1264753
Samsun,41.2797031,36.3360667
San Antonio Este,-40.816667,-64.75
San Antonio(CHL),29.6113587,-98.6005861
San Ciprian,43.6938309,-7.4415158
San Diego,32.715738,-117.1610838
San Juan(PRI),18.4655394,-66.1057355
San Lorenzo(ARG),-32.7477485,-60.7341297
San Pedro de Macoris,18.46266,-69.3051234
Santa Cruz de Tenerife,28.4636296,-16.2518467
Santa Pola,38.1965614,-0.5612438
Santana,37.3207804,-121.9481756
Santander,37.0326091,-95.6217695
Santarem,39.2366618,-8.6860119
Santo Domingo,18.4860575,-69.9312117
Santo Tomas de Castilla,15.69018,-88.620407
Santos,29.9605954,-90.0594676
Sao Luiz,-2.5299669,-44.2567292
Savannah,32.0808989,-81.091203
Savona,44.2975603,8.4645
Seaham,54.840346,-1.337517
Selaata,34.2795888,35.6640062
Sepetiba,-22.9674264,-43.7056394
Sete,43.4078758,3.7008219
Setubal,38.5254047,-8.8941
Seven Islands,35.9530344,-83.6877598
Seville,37.3890924,-5.9844589
Sfax,34.739822,10.7600196
Shanghai,31.230416,121.473701
Sharpness,33.5535111,-112.1747068
Shimizu,37.9264054,-122.0295297
Shuaiba,29.0447222,48.1591667
Shuwaikh,29.3472451,47.9160209
Sibenik,43.7350196,15.8952045
Sillamae,59.3995308,27.748088
Sines,37.9571555,-8.8608907
Singapore,1.352083,103.819836
Singapore Roads,1.33035,103.891074
Sitra,33.9114795,-84.3541191
Skelleftea,64.750244,20.950917
Skikda,36.8662658,6.9062556
Skutskar,60.6255911,17.4135581
Sluiskil,51.2777029,3.8366881
Sorel,40.740825,-74.004468
Sousaki,41.346176,2.168365
Southampton,40.884267,-72.3895296
Split,37.789001,-122.399458
St. John's(CAN),40.7220627,-73.7942112
St. Malo,48.649337,-2.025674
St. Nazaire,47.2734979,-2.213848
St. Petersburg,27.7676008,-82.6402915
Stade,53.5928618,9.4709494
Stockholm,59.3293235,18.0685808
Stylis,38.544,22.3658
Subic Bay,14.7910576,120.2397336
Suez,40.9010367,-74.0380829
Suez Canal,30.5578479,32.3388628
Sunderland,54.906869,-1.383801
Surabaya,-7.2574719,112.7520883
Swinoujscie,53.9100327,14.2475775
Sydney,-33.8688197,151.2092955
Szczecin,53.4285438,14.5528116
Taboneo,-3.7143241,114.4671432
Taganrog,47.2416334,38.8676013
Taipei,25.0329694,121.5654177
Taizhou,28.65638,121.42076
Takoradi,4.9015794,-1.7830973
Tallinn,59.4369608,24.7535747
Taman,45.2120206,36.7102871
Tampa,27.950575,-82.4571776
Tampico,22.2331041,-97.861099
Tangier,35.7594651,-5.8339543
Tangier-Mediterranee,35.766667,-5.8
Tanjung Pelepas,1.3621673,103.5533946
Tarakan,3.3273599,117.5785049
Taranto,40.4643606,17.2470303
Tarragona,41.1188827,1.2444909
Tartous,34.8959276,35.8866517
Tasucu,36.319969,33.88792
Tauranga,-37.6877975,176.1651295
Tawitawi,5.133811,119.950926
Tees,36.1564657,-95.9872423
Tees Bay,54.6509049,-1.1553706
Tekirdag,40.9780919,27.511674
Teluk Adang,-1.7205612,116.3367515
Tema,5.7348119,0.0302354
Temryuk,45.2710009,37.382298
Tenerife,28.2915637,-16.6291304
Terneuzen,51.3322854,3.8324265
Thessaloniki,40.6400629,22.9444191
Thi Vai,10.5725077,106.9846407
Thisvi,38.2577273,22.969588
Thorold,43.1236091,-79.1989299
Tianjin,39.3433574,117.3616476
Tieshan,30.206592,114.901412
Tilbury,51.463024,0.360498
Timaru,-44.3969718,171.2549729
Tolu,9.527515,-75.581273
Toronto,43.653226,-79.3831843
Toros Gubre,41.2382525,36.4570668
Trabzon,41.0026969,39.7167633
Trapani,38.0173505,12.5365171
Trieste,45.6495264,13.7768182
Trincomalee,8.5873638,81.2152121
Tsingeli,39.16787,22.84545
Tuapse,44.106518,39.0806454
Tubarao,-28.4818875,-49.0058727
Tuticorin,8.7641661,78.1348361
Tuzla,44.5374611,18.6734687
Umm Qasr,30.0397683,47.9267674
Ust-Luga,59.6533827,28.2696934
Vado Ligure,44.2647844,8.432131
Valencia,28.5217922,-81.4635767
Valletta,35.8989085,14.5145528
Vancouver(CAN),49.2888248,-123.1111209
Varna,43.2140504,27.9147333
Vasto,42.1045588,14.7058711
Venice (Porto Marghera),45.4619904,12.2171672
Ventspils,57.3937216,21.5647066
Veracruz,19.173773,-96.1342241
Vigo,40.7448556,-73.9936404
Vila do Conde,41.3519329,-8.7471423
Visakhapatnam,17.6868159,83.2184815
Visakhapatnam Roads,17.7899603,83.3847044
Vitoria,42.8591656,-2.6817918
Vlaardingen,51.9120668,4.3494366
Vladivostok,43.1198091,131.8869243
Vlissingen,51.4536672,3.5709125
Volos,39.366584,22.9506769
Walvis Bay,-22.9584081,14.5057511
West Palm Beach,26.7153424,-80.0533746
Whangarei,-35.7251117,174.323708
Wilhelmshaven,53.5323403,8.1068722
Willemstad(ANT),12.1224221,-68.8824233
Wilmington(DE USA),39.744655,-75.5483909
Wilmington(NC USA),34.2103894,-77.8868117
Wismar,53.8979416,11.4516022
Xiamen,24.479833,118.089425
Yalova,40.654895,29.284186
Yanbu,24.0231757,38.1899782
Yangjiang,21.857958,111.982232
Yangon,16.840939,96.173526
Yangzhou,32.394209,119.412939
Yantai,37.464539,121.447852
Yantian,22.556499,114.236875
Yarimca,38.661288,39.77303
Yeisk,46.6825784,38.2702941
Yeysk,46.6825784,38.2702941
Yonkers,40.9312099,-73.8987469
Yosu,34.7603737,127.6622221
Yumurtalik,36.768649,35.788214
Yuzhnyy,46.6240213,31.1000648
Zanzibar,-6.165193,39.1989144
Zeebrugge,51.3189468,3.2068507
Zeyport,40.9809744,28.8943125
Zhangjiagang,31.875572,120.556005
Zhangzhou,24.513025,117.647093
Zhanjiang,21.270702,110.359368
Zhenjiang,32.187849,119.425836
Zhoushan,29.985295,122.207215
Zhuhai,22.270978,113.576677
Zonguldak,41.453521,31.78938
Zwijndrecht(NLD),51.8105978,4.6272719
